,subject,nll,bic,alpha_pos,alpha_neg,beta,1/beta
1,1,54.70556881108337,123.10418219657024,1.0,0.7339656911050781,4.3887966935019165,0.22785288766750283
2,2,25.616836059695707,64.92671669379493,0.22734933443285324,0.06384452320236977,20.0,0.05
3,3,40.401777622936905,94.49659982027731,0.1831014854261214,0.04225313599269837,20.0,0.05
4,4,49.89899518096763,113.49103493633876,0.6488453401330889,0.05144566874167301,8.298984430972775,0.12049667140811636
5,5,48.73644555832668,111.16593569105686,0.22019410087960428,0.0,9.063293118382493,0.11033517143694321
6,6,34.60083952846473,82.89472363133297,0.44681207253135297,0.11511416613261365,12.144051025133674,0.08234484505461741
7,7,51.514520144637416,116.72208486367833,0.08176768498479142,0.006780968339551266,20.0,0.05
8,8,43.4071756591498,100.5073958927031,0.23372971213738444,0.016361622015331496,12.606721327781212,0.07932276553113912
9,9,43.031645161582574,99.75633489756865,1.0,0.6943949856262387,7.3446115210642775,0.13615424003461712
10,10,61.74739135271958,137.18782727984268,0.7836380647663429,1.0,2.1212194804993096,0.47142693587021556
11,11,26.73585026069187,67.16474509578725,0.1648702392758039,0.0,20.0,0.05
12,12,58.670894560163795,131.0348336947311,0.4616096914918177,0.7917533346466021,4.0140725506000265,0.2491235490625398
13,13,61.39149249463639,136.4760295636763,0.4323531493700371,0.0,5.536521102011107,0.18061883655365393
14,14,19.481181575277322,52.65540772495815,0.44604569977106084,0.18288862399087774,20.0,0.05
15,15,49.95933709924314,113.61171877288979,0.24037239665428758,0.0,10.250983512565362,0.09755161529371582
16,16,35.402190464660094,84.49742550372369,0.26774585414092666,0.033088948612645885,19.136120195468347,0.05225719685000784
17,17,58.57144951517825,130.83594360476002,0.04957731881718921,0.0,20.0,0.05
18,18,26.54205535593641,66.77715528627633,1.0,0.39616520485542767,12.69166017295122,0.07879189848868036
19,19,34.60378562130214,82.90061581700778,0.24711276525186995,0.0,20.0,0.05
20,20,62.626374823046305,138.9457942204961,0.1378603944495297,0.029088131293729426,7.3827606684456395,0.13545068639080496
21,21,62.68180672628935,139.0566580269822,0.5459872715479039,0.0,5.319355247609099,0.18799270841131957
22,22,50.508844337496555,114.71073324939661,0.4079837959349024,0.0023431165529303466,7.647473766395226,0.13076213538570503
23,23,9.68845194517611,33.069948464755726,0.613893319693709,0.10219489300195773,20.0,0.05
24,24,23.832029627493966,61.35710382939144,1.0,0.11338189216204798,15.184866346960755,0.0658550412727307
25,25,24.037689828044716,61.76842423049294,0.26936804356832206,0.08473499490769645,20.0,0.05
26,26,37.30642502551147,88.30589462542645,0.1433248686001309,0.04642516065501054,20.0,0.05
27,27,14.000945181895053,41.69493493819361,0.4104881259234101,0.11247020278469458,20.0,0.05
28,28,20.22899476184539,54.151034098094286,0.3541625584031086,0.11544368754328163,20.0,0.05
29,29,21.889261797925194,57.471568170253896,0.44056421138657476,0.2617535026223047,20.0,0.05
30,30,49.603977240313306,112.90099905503013,0.28613766872987734,0.03699015080582521,11.28766675441998,0.08859226815926541
31,31,54.12379441298158,121.94063340036666,0.4707673679807265,0.9368521669360009,5.398779165961982,0.18522706138913073
32,32,27.144300693048514,67.98164596050054,0.2971475017776459,0.05509680175380473,20.0,0.05
33,33,44.2243617830524,102.1417681405083,0.17145216799360308,0.031944540044251554,12.686555421660179,0.07882360236984948
34,34,57.52908995903217,128.75122449246786,0.3535896575772716,0.0,8.60152507440448,0.1162584531638111
35,35,64.33180050848486,142.35664559137322,0.02276451218481404,0.0,20.0,0.05
36,36,20.826460279352915,55.34596513310934,0.3407945199562957,0.18183438685223038,20.0,0.05
37,37,59.62734657471729,132.9477377238381,0.2077796214363807,0.0,9.12695123544833,0.10956561224038122
38,38,19.060456486456452,51.81395754731641,0.41143491492564854,0.018225625850842905,20.0,0.05
39,39,25.9167779759133,65.52660052623011,0.1860858101184607,0.07239499100100046,20.0,0.05
40,40,30.134519827875337,73.96208423015418,1.0,0.16304952593413363,10.097992069781014,0.09902958856469829
41,41,45.92296870518514,105.53898198477378,0.27851116788634095,0.0,9.51015969412829,0.10515070536800916
42,42,36.41488036414813,86.52280530269977,0.14138085382876914,0.0,20.0,0.05
43,43,35.35451624516468,84.40207706473288,1.0,0.6097504550935395,7.565867429040108,0.1321725511818638
44,44,41.872072961255604,97.43719049691472,0.12463848838943091,0.09601820212486989,20.0,0.05
45,45,40.54085999227712,94.77476455895774,0.22801213980533738,0.10021811952876954,14.218461555355047,0.07033109708155266
46,46,63.90131236629347,141.49566930699044,0.0,0.22184054829453245,7.18112868357581,0.13925387554844018
47,47,44.25488031778164,102.20280520996678,1.0,0.980564584070916,5.0175651920979325,0.19929985196303596
48,48,65.31878823593641,144.33062104627632,1.0,0.5633513220379182,1.2553064630960609,0.7966182198517655
49,49,16.197333596239616,46.08771176688274,0.2896981780482065,0.000889860903926116,20.0,0.05
50,50,39.28529680807952,92.26363819056255,0.4146418552903727,0.07242581549677797,13.572252505674067,0.07367973735987716
