,subject,nll,bic,alpha_pos,alpha_neg,beta
1,1,54.705568811083666,123.10418219657083,1.0,0.733965706350748,4.388797525543503
2,2,23.631097007460397,60.9552385893243,0.0863763496484594,0.0576566235096414,50.0
3,3,39.599443087933345,92.8919307502702,0.061760472410823775,0.016916641383089567,50.0
4,4,49.898995180965095,113.4910349363337,0.64884573983456,0.051445768653969784,8.298978772257326
5,5,48.736445558325826,111.16593569105515,0.22019424483875294,0.0,9.06328897883229
6,6,34.60083952846476,82.89472363133302,0.44681213625359983,0.11511416561533787,12.144050795357328
7,7,51.224825232173586,116.14269503875067,0.028254287011401924,0.0017483739525687662,50.0
8,8,43.40717565915065,100.5073958927048,0.23372957509458878,0.016361628459144482,12.606725845789125
9,9,40.95969134050302,95.61242725540956,0.067703818534392,0.00758539442462342,50.0
10,10,61.74739135271402,137.18782727983154,0.7836383410043193,1.0,2.1212212252215754
11,11,26.403912586070394,66.5008697465443,0.07993203394168309,0.0,34.74732385821449
12,12,58.67089456019902,131.03483369480153,0.4616110732167778,0.7917555602293418,4.014062618319779
13,13,61.39149249464843,136.47602956370037,0.4323524053427025,0.0,5.536528431147684
14,14,18.381448590171694,50.455941754746895,0.15618011471323268,0.09594946293379672,50.0
15,15,49.95933709924387,113.61171877289124,0.2403725700994315,0.0,10.25097939307315
16,16,35.40219046466499,84.4974255037335,0.26774562934964313,0.03308891587445501,19.13613233338344
17,17,58.44936214927148,130.59176887294646,0.01753500130039672,0.0,50.0
18,18,26.542055355936213,66.77715528627593,1.0,0.39616518394546646,12.69165880172004
19,19,34.44192851585781,82.57690160611912,0.12314210589800369,0.0,32.670543189878785
20,20,62.6263748230445,138.9457942204925,0.13786053413195667,0.029088050416717377,7.3827538702771065
21,21,62.681806726293175,139.05665802698985,0.5459871259868554,0.0,5.319349939845632
22,22,50.5088443374966,114.7107332493967,0.4079838097506123,0.002343111594654433,7.647474381030613
23,23,7.4532884897618645,28.599621553927236,0.2911912539360051,0.06256417358398604,50.0
24,24,23.832029627493963,61.357103829391434,1.0,0.11338189271387626,15.18486628405606
25,25,22.59506387236658,58.88317231913667,0.09764829206035727,0.05437829267190968,50.0
26,26,37.291146672186315,88.27533791877613,0.12539938780664628,0.04470912086813005,21.937863114828392
27,27,12.737723851775106,39.16849227795372,0.16185865800376098,0.06538816719758231,50.0
28,28,18.80080625034086,51.294657075085226,0.12294366825672007,0.07762370482557904,50.0
29,29,17.102359727242053,47.897764028887615,0.1797383550647692,0.15123680908411588,50.0
30,30,49.60397724031409,112.90099905503169,0.28613767093777465,0.0369901913218339,11.287667142639133
31,31,54.12379441298147,121.94063340036644,0.4707673595701255,0.9368520596216192,5.398780375891781
32,32,24.100328059833565,61.89370069407064,0.14394930158961466,0.030717719858131477,50.0
33,33,44.22436178304164,102.14176814048679,0.17145153382817793,0.031944661737877925,12.686575574827952
34,34,57.52908995903206,128.75122449246763,0.35358964099640844,0.0,8.601525776867435
35,35,64.23565351750565,142.1643516094148,0.008954876468806659,0.0,50.0
36,36,18.84177847958527,51.376601533574046,0.12942648645982552,0.12320029988412677,50.0
37,37,59.627346574716874,132.94773772383726,0.2077795360688218,0.0,9.126953808553916
38,38,18.515326430483025,50.72369743536956,0.3927344466562044,0.02653786825909905,25.551978552593358
39,39,24.50790875798843,62.70886209038037,0.07051536152527067,0.04426691689855644,50.0
40,40,29.62557976008995,72.9442040945834,0.06260614958220634,0.05910658104709745,50.0
41,41,45.922968705185305,105.53898198477413,0.27851114149961564,0.0,9.510160562142232
42,42,35.440006114004355,84.57305680241222,0.051479327412448476,0.0,50.0
43,43,35.35443763803403,84.40191985047156,0.9999999999999674,0.6105102488587175,7.581492735131548
44,44,41.87023304583313,97.43351066606976,0.11779904084503334,0.09463147547130973,20.907819918983705
45,45,40.54085999229023,94.77476455898397,0.22801297977582927,0.10021822568408251,14.218431126152764
46,46,63.901312366293084,141.49566930698967,0.0,0.2218416142434526,7.18110815407772
47,47,44.25488031778205,102.20280520996761,1.0,0.9805643421167305,5.017565733664423
48,48,65.3187882367276,144.3306210478587,1.0,0.563313427394122,1.2553534348781767
49,49,15.124254775892474,43.94155412618846,0.11564611224418606,0.009737618355827576,50.0
50,50,39.285296808079835,92.26363819056317,0.4146417276227444,0.07242584882217568,13.572251429125028
