,variable,alpha_pos,alpha_neg,beta,alpha_pos_hat,alpha_neg_hat,beta_hat,n_trials,n_blocks,n_sp,alpha_pos_level,alpha_neg_level,beta_level
215,beta,0.3,0.1,6.0,0.14365699115781905,0.10370403004496341,7.548240789152203,100,2,1,medium,low,variable
216,beta,0.3,0.1,7.0,0.4708780275757821,0.10727529234033575,5.146056400262428,100,2,1,medium,low,variable
217,beta,0.3,0.1,8.0,0.1911548807179026,0.20987549995566032,5.286668064512846,100,2,1,medium,low,variable
218,beta,0.3,0.1,9.0,0.27006303855937147,0.25506256028937196,5.8822925140169975,100,2,1,medium,low,variable
219,beta,0.3,0.1,10.0,0.22112934841823428,0.27982578769918237,7.493735627434238,100,2,1,medium,low,variable
220,beta,0.3,0.3,1.0,0.0,0.0,0.0,100,2,1,medium,medium,variable
221,beta,0.3,0.3,2.0,0.4968530104645659,0.24522175893693238,2.6448163195519214,100,2,1,medium,medium,variable
222,beta,0.3,0.3,3.0,0.3322292723604423,0.29761533110846344,3.033907531989024,100,2,1,medium,medium,variable
223,beta,0.3,0.3,4.0,0.0,0.0,0.0,100,2,1,medium,medium,variable
224,beta,0.3,0.3,5.0,0.23574413161177868,0.2063418459798632,4.427806744194896,100,2,1,medium,medium,variable
225,beta,0.3,0.3,6.0,0.33649519976114317,0.3420552486405676,5.608208020702606,100,2,1,medium,medium,variable
226,beta,0.3,0.3,7.0,0.2512057664333784,0.3402165646117698,7.737780128352972,100,2,1,medium,medium,variable
227,beta,0.3,0.3,8.0,0.38607668474764023,0.4164777100336337,6.410327737361085,100,2,1,medium,medium,variable
228,beta,0.3,0.3,9.0,0.11069790493332299,0.5028235081932827,20.0,100,2,1,medium,medium,variable
