,trial,block,state,p_r_0,ev_0,p_r_1,ev_1,r,a,corr,p_a_0,Q_0,p_a_1,Q_1,ll
33,33.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,1.0,1.0,0.7853860764243387,-0.027146488432893648,0.2146139235756613,-0.262724,-1.5389145693634074
34,34.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.02203202103694529,-0.11,0.9779679789630548,0.4251759386066944,-0.022278350829899075
35,35.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,1.0,0.0,0.15587702824118266,-0.11,0.8441229717588173,-0.02451200000000002,-0.16945709386352004
36,36.0,0.0,1.0,0.25,-0.25,0.25,-0.25,0.5,0.0,1.0,0.8596196747281617,0.16262624740294807,0.14038032527183827,-0.262724,-0.1512652262391362
37,37.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,1.0,1.0,0.021778002773446103,-0.17730464,0.9782219972265539,0.13751277371391998,-0.02201864367668927
38,38.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.016036238687645362,-0.11,0.9839637613123546,0.4521126007082844,-0.01616621054264761
39,39.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.013074341347257667,-0.11,0.9869256586527424,0.469352064453302,-0.013160562899326628
40,40.0,0.0,0.0,0.75,0.25,0.25,-0.25,-0.5,0.0,1.0,0.3412789441449089,-0.1958,0.6587210558550912,-0.02451200000000002,-1.0750551180727523
41,41.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,1.0,1.0,0.08153492580381509,-0.17730464,0.918465074196185,0.2680081751769088,-0.08505139987715346
42,42.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.9634530132862696,0.016848472974299478,0.03654698671373037,-0.262724,-0.03723155901506527
43,43.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,1.0,1.0,0.0315084744272538,-0.17730464,0.9684915255727462,0.3515252321132216,-0.03201554622732176
44,44.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.8957208602021388,-0.09685819108004641,0.10427913979786115,-0.262724,-0.11012645449882921
45,45.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,1.0,1.0,0.016824986138581258,-0.17730464,0.9831750138614188,0.16418968104831286,-0.016968134131526303
46,46.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.7817494943298001,-0.1855493890424362,0.2182505056701998,-0.262724,-0.24622092948827135
47,47.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.011469203140023174,-0.11,0.9885307968599769,0.4803853212501133,-0.011535481712642416
48,48.0,0.0,0.0,0.75,0.25,0.25,-0.25,0.5,1.0,0.0,0.21121786806260712,-0.1958,0.7887821319373929,0.16431231999999996,-0.23726512815946407
49,49.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.010545802645151548,-0.11,0.9894541973548485,0.4874466056000725,-0.010601803687122598
50,50.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009993831512396505,-0.11,0.9900061684876036,0.4919658275840464,-0.010044105077353586
51,51.0,0.0,0.0,0.75,0.25,0.25,-0.25,0.5,1.0,0.0,0.05896175494899035,-0.1958,0.9410382450510096,0.2851598848,-0.0607714972354034
52,52.0,0.0,3.0,0.75,0.25,0.75,0.25,-0.5,1.0,1.0,0.06742841537955216,-0.17730464,0.9325715846204479,0.01806795121768401,-0.06980936406154607
53,53.0,0.0,0.0,0.75,0.25,0.25,-0.25,0.5,1.0,0.0,0.024134287936223752,-0.1958,0.9758657120637763,0.36250232627199996,-0.024430292134020412
54,54.0,0.0,3.0,0.75,0.25,0.75,0.25,0.5,0.0,1.0,0.18199844622149067,0.06652503039999999,0.8180015537785092,0.01806795121768401,-1.703757129186341
55,55.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.6442023818755417,-0.25472852345310026,0.35579761812445826,-0.262724,-0.4397423446756342
56,56.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.009655679726323634,-0.11,0.9903443202736765,0.49485812965378967,-0.009702598065056115
57,57.0,0.0,1.0,0.25,-0.25,0.25,-0.25,0.5,0.0,1.0,0.5153710713946599,0.016973744990015804,0.4846289286053403,-0.262724,-0.6628681107934212
58,58.0,0.0,1.0,0.25,-0.25,0.25,-0.25,-0.5,0.0,1.0,0.895810833829701,-0.09676047890778768,0.104189166170299,-0.262724,-0.1100260112547186
59,59.0,0.0,2.0,0.25,-0.25,0.75,0.25,0.5,1.0,1.0,0.0094452343436152,-0.11,0.9905547656563849,0.4967092029784254,-0.009490123451891923
