,subject,nll,bic,alpha_pos,alpha_neg,beta,condition
0,1,58.20449188085688,132.30393586135787,0.02461954849217793,0.6961671705805971,100.0,highcarb
1,2,48.86159529470317,113.61814268905044,0.16979527193866614,0.9579700716616364,100.0,highcarb
2,3,55.78024759756666,127.45544729477743,0.41914321090844786,0.7493365910865676,9.39677190690746,highcarb
3,4,85.37038303709231,186.63571817382874,1.0,0.9678876081380828,0.6542570701705746,highcarb
4,5,30.22560713500095,76.346166369646,1.0,0.9561041963237884,100.0,highcarb
5,6,73.76775575070019,163.4304636010445,0.7162228328382075,0.7549143446524156,4.376636092459762,highcarb
6,7,51.38411926268887,118.66319062502185,0.5226929743550494,0.7519004470688507,8.711355168093906,highcarb
7,8,67.62567095529424,151.1462940102326,0.20774007194212255,0.8336860380078149,13.260626275245409,highcarb
8,9,65.45300937114449,146.8009708419331,1.0,0.702810020561342,4.077577039520114,highcarb
9,10,64.29691260574836,144.48877731114084,0.48666518192577596,0.8024952648052303,6.626667311720988,highcarb
10,11,69.86212476125031,155.61920162214474,0.3291501927797368,0.7809893105007889,7.865651808850768,highcarb
11,12,31.94983831892992,79.79462873750396,0.03469484927373073,0.4884178035836144,100.0,highcarb
12,14,127.99110408843593,271.87716027651595,1.0,0.6917088404535304,1.0051218569673939,highcarb
13,15,77.92649196260075,171.74793602484561,0.7036843419358721,0.7694521294659671,3.8210829622556077,highcarb
14,16,80.78126613162354,177.4574843628912,1.0,1.0,3.0726934355340068,highcarb
15,17,57.61623764853137,131.12742739670685,0.5698681389446166,0.7011770511174228,6.01375973309158,highcarb
16,18,101.9511037801377,219.79715965991952,0.8467675654985115,1.0,2.2246719240506763,highcarb
17,19,105.49911790734426,226.89318791433263,1.0,0.8559120752001312,1.8680145406866524,highcarb
18,20,67.62833864157474,151.1516293827936,1.0,0.9020964532731567,4.298666981424269,highcarb
19,21,75.63219478704771,167.15934167373953,1.0,0.5373086378442856,2.8502177069802106,highcarb
20,22,58.856750747503455,133.60845359465102,0.21494264518477682,0.9700088647782744,42.09293629304907,highcarb
21,24,89.05796775610438,194.01088761185287,1.0,0.8961805684089718,2.335609451107134,highcarb
22,25,92.76656694348486,201.42808598661384,0.737631175131003,0.6697176678632392,2.868671753863871,highcarb
23,26,127.46257292498716,270.8200979496184,0.06093276660769316,1.0,4.999139488373342,highcarb
24,27,66.31170707303738,148.51836624571888,0.5441995758864776,0.5774849713569805,5.387378238896966,highcarb
25,28,52.16552770585289,120.22600751134988,0.29014174399260223,0.7337027157463261,13.747446380069524,highcarb
26,29,77.26672752785802,170.42840715536016,1.0,0.9766488141325833,2.9940067619440236,highcarb
27,30,72.10152138190011,160.09799486344434,0.789960581818938,0.9865269088224974,3.705010855074759,highcarb
28,31,33.04598413281936,81.98692036528283,1.0,0.8660316758321732,28.013575943692587,highcarb
29,1,47.10329002837274,110.1015321563896,0.3411324692471778,0.7127810891912862,12.456672670605245,highpro
30,2,87.96916200642791,191.83327611249993,1.0,0.6934622757226598,2.4892750758947875,highpro
31,3,53.4246805606317,122.74431322090751,0.23049359783217557,0.7103921446383781,13.22003107489646,highpro
32,4,119.3689767830603,254.63290566576472,1.0,0.18929098533226366,0.9969183502381185,highpro
33,5,31.446805177258724,78.78856245416156,1.0,0.9546680766907527,100.0,highpro
34,6,50.845478811368594,117.5859097223813,0.7307330389406311,0.9864147823421121,100.0,highpro
35,7,54.05106819205122,123.99708848374655,0.9463106578256404,0.614428188797676,5.0587959917704355,highpro
36,8,42.92142837806095,101.73780885576602,0.5948220423114409,0.9836361217941242,100.0,highpro
37,9,58.61639102370546,133.12773414705504,1.0,0.7405212672423793,5.545661469763975,highpro
38,10,60.33139824092407,136.55774858149223,1.0,0.7882451396894138,5.444986389311982,highpro
39,11,81.70270911590835,179.3003703314608,0.5431488889323667,0.8468261369393403,4.62293775234254,highpro
40,12,42.40100202644679,100.6969561525377,0.02890277159308062,0.3996034208905319,100.0,highpro
41,13,72.83251474192426,161.55998158349263,0.72749728410928,0.8143619108855842,4.016218310288143,highpro
42,14,128.93960631141246,273.77416472246904,1.0,0.34678635456817436,0.571131636581902,highpro
43,15,51.46327263863441,118.82149737691293,0.09882948863194134,0.97893698309847,100.0,highpro
44,16,55.2917634661365,126.47847903191712,0.24884116627399594,0.9934423786482239,49.29433321277528,highpro
45,17,45.25651738256509,106.4079868647743,0.985072376976409,0.9867192515444763,100.0,highpro
46,18,99.68726119616511,215.26947449197434,1.0,0.944133991421582,2.2080141606678,highpro
47,19,107.11878007541273,230.13251225046957,0.9954064924615601,0.8371620094659032,1.90995011816254,highpro
48,20,83.26410647355641,182.42316504675694,0.7616865330223759,0.6541185018939678,3.345662085116826,highpro
49,21,31.74164784730231,79.37824779424872,0.44027775427819515,0.9477465995211266,100.0,highpro
50,22,64.51474707674879,144.9244462531417,0.5343282464533179,0.5649855958109676,5.759486592463909,highpro
51,23,75.83955190835513,167.57405591635438,1.0,0.5059196900497211,3.376443792137098,highpro
52,24,92.26349453215136,200.42194116394683,0.38974133873094824,0.8870158614751174,4.161068085563619,highpro
53,25,54.45228740116727,124.79952690197865,0.8483313858219084,0.730254692153352,4.969512937664869,highpro
54,26,120.40467616299006,256.70430442562423,0.6084571492809838,0.6111921083625921,1.5780888010610608,highpro
55,27,47.46984961659722,110.83465133283855,0.7822350475287299,0.6806541445553764,6.735839427523766,highpro
56,28,49.43208009322804,114.75911228610019,1.0,0.9830580168865319,100.0,highpro
57,29,103.9788346679042,223.8526214354525,1.0,0.8609710844902462,1.9769140173226594,highpro
58,30,84.80139045376698,185.49773300717808,1.0,0.8476034219450009,2.762755283566395,highpro
59,31,76.75361003515974,169.4021721699636,0.7403041382844454,0.7599562969087236,3.222408683833975,highpro
